tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
8784,312485,06/03/2015,8,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,31-039 COLLEGE POINT BOULEVARD,11354,Flushing,407,4,Queens,19,27,11,QN23,QN23,4090700,New York,40.76823965,-73.84077781,1028354.045,219207.2696
8920,508923,06/03/2015,14,0,OnCurb,Alive,Good,Quercus phellos,willow oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1530 METROPOLITAN AVENUE,10462,Bronx,209,2,Bronx,18,87,32,BX46,BX46,2021002,New York,40.83954637,-73.85826988,1023466.768,245178.4638
9318,311226,06/03/2015,14,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,Sneakers,No,No,No,No,No,No,No,Yes,No,44-015 COLDEN STREET,11355,Flushing,407,4,Queens,20,25,16,QN62,QN62,4083700,New York,40.7513574,-73.82401528,1033009.564,213065.4125
9320,311226,06/03/2015,14,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,44-029 COLDEN STREET,11355,Flushing,407,4,Queens,20,25,16,QN62,QN62,4083700,New York,40.75124419,-73.82390581,1033039.98,213024.2259
323,501897,05/19/2015,4,0,OnCurb,Alive,Good,Prunus,cherry,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1082 HALL PLACE,10459,Bronx,202,2,Bronx,17,79,32,BX33,BX33,2013100,New York,40.82577405,-73.89727499,1012679.933,240145.6421
324,501897,05/19/2015,5,0,OnCurb,Alive,Fair,Prunus,cherry,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1082 HALL PLACE,10459,Bronx,202,2,Bronx,17,79,32,BX33,BX33,2013100,New York,40.82585448,-73.89722988,1012692.383,240174.959
1760,316250,05/22/2015,6,0,OnCurb,Alive,Good,Prunus,cherry,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,199-002 24 ROAD,11357,Whitestone,407,4,Queens,19,26,11,QN47,QN47,4099701,New York,40.77451022,-73.79284782,1041625.077,221519.6066
8398,222500,06/02/2015,5,0,OnCurb,Alive,Good,Prunus,cherry,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,13 RENAISSANCE COURT,11206,Brooklyn,304,3,Brooklyn,34,53,18,BK78,BK78,3039100,New York,40.69961055,-73.93480487,1002327.464,194170.1773
2664,224864,05/24/2015,2,0,OnCurb,Alive,Good,Prunus cerasifera,purple-leaf plum,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,721 45 STREET,11220,Brooklyn,307,3,Brooklyn,38,51,17,BK34,BK34,3009400,New York,40.64488689,-74.00231077,983608.7388,174226.0709
1159,316377,05/21/2015,4,0,OnCurb,Alive,Poor,Prunus,cherry,None,None,NoDamage,TreesCount Staff,TrunkOther,No,No,No,No,No,Yes,No,No,No,162-023 13 AVENUE,11357,Whitestone,407,4,Queens,19,26,11,QN49,QN49,4099100,New York,40.78946641,-73.79948101,1039775.41,226964.3644
